source_id,target_id,score
1002,VF-2620311311,0.99987406
1005,VF-4901448645,0.99615824
1006,VF-2183762338,0.9997205
1007,VF-4835098131,0.99982524
1008,VF-6438591877,0.99940443
1010,VF-3431456087,0.99968684
1011,VF-8777205193,0.99981916
1012,VF-3084665488,0.95424783
1013,VF-9708740315,0.99985206
1015,VF-6888442721,0.9999249
1017,VF-4908671854,0.9708055
1018,VF-9010047459,0.9997898
1019,VF-9424177915,0.9635783
1020,VF-3979188843,0.9995837
1021,VF-9698649469,0.9854858
1022,VF-9614532846,0.9922081
1025,VF-8215106910,0.99960095
1027,VF-2406211471,0.9999293
1028,VF-2289157883,0.9997746
1029,VF-6704077851,0.8908995
1030,VF-9974425280,0.99957144
1031,VF-1357919742,0.99970436
1034,VF-5373079108,0.99937236
1036,VF-7719476014,0.99958616
1037,VF-3780005706,0.9998194
1038,VF-9996604464,0.99285036
1041,VF-5501349253,0.9998832
1046,VF-7551187077,0.9708055
1047,VF-7123394882,0.99984586
1052,VF-8215106984,0.99755114
1053,VF-6888442706,0.9997762
1054,VF-5283485834,0.9997458
1055,VF-9929789292,0.9922081
1057,VF-5303231290,0.99946034
1062,VF-9426426977,0.99992794
1063,VF-2946627122,0.99977505
1065,VF-7865602264,0.9708055
1066,VF-9988091527,0.99971676
1067,VF-1623525818,0.99987656
1069,VF-8960744172,0.99945945
1073,VF-8162401297,0.99973345
1076,VF-1357919758,0.9999407
1077,VF-9901256324,0.9675226
1078,VF-9947162508,0.9994945
1079,VF-5702638842,0.86389256
1084,VF-0462376488,0.9995982
1086,VF-6888442753,0.99285036
1089,VF-9367293956,0.99981916
1091,VF-8584906106,0.99951327
1092,VF-2452630729,0.99981916
1094,VF-0138158231,0.999768
1097,VF-3891214484,0.9996786
1098,VF-8238797393,0.9612236
1099,VF-5373079126,0.9995306
1101,VF-5283485862,0.9998422
1102,VF-2933070001,0.98083305
1103,VF-2635169562,0.9995487
1104,VF-6881288702,0.9995868
1105,VF-2635169510,0.99982524
1108,VF-2305605581,0.99966764
1111,VF-6642356129,0.9993194
1112,VF-6438591887,0.9998483
1115,VF-9999914743,0.9995497
1116,VF-0807638943,0.9992768
1117,VF-7170137955,0.9996852
1118,VF-1323430639,0.99951327
1122,VF-2511237801,0.99968296
1123,VF-9840877310,0.99940443
1128,VF-9996694415,0.9995487
1131,VF-7723819946,0.9718614
1132,VF-6263760675,0.9998442
1134,VF-9532261790,0.9980954
1136,VF-7723819918,0.9962901
1137,VF-2620311317,0.99950266
1140,VF-9506969738,0.9995164
1143,VF-9772562930,0.99966204
1150,VF-6091423807,0.8594827
1151,VF-1357919725,0.99615824
1153,VF-1897269874,0.9998863
1154,VF-0138158201,0.99977165
1155,VF-0462376408,0.99974793
1159,VF-4053865613,0.9998142
